id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
632410905711608772,Slashed colors - double room 2,11890324,Silvia E Jacopo,,Santo Stefano,44.494678,11.351896,Private room,80,1,70,2024-02-29,3.20,12,117,48,037006-AF-00482
632453642255094987,[GIARDINI MARGHERITA] Garden view apartment,288167285,Jacopo,,Santo Stefano,44.48616,11.35071,Entire home/apt,125,1,145,2024-02-29,6.60,4,350,81,
632584882226727018,L'Appartamento sul cortile,4181174,Flavia,,Santo Stefano,44.487091,11.340505,Entire home/apt,85,3,35,2024-03-17,1.72,2,267,22,
633028497729938774,Casa Senzanome nel centro storico di Bologna,159281470,Paola,,Porto - Saragozza,44.492844,11.335336,Entire home/apt,100,2,59,2024-03-24,2.66,1,175,23,
633233566417204783,AFFASCINANTE bilocale nel cuore del centro storico,460542839,Orazio,,Santo Stefano,44.486774,11.349297,Entire home/apt,81,1,46,2024-02-18,2.24,1,167,22,
633239515479633498,Casa Altaseta,460545112,Chiara,,Porto - Saragozza,44.489971,11.336914,Entire home/apt,200,3,23,2024-01-02,1.11,1,209,10,037006-AT-02554
633864060172441452,Appartamento Al Zigànt [Top location],50110271,Nicolò,,Santo Stefano,44.493621826171875,11.344705581665039,Entire home/apt,182,2,16,2023-10-06,0.91,8,211,11,037006-AT-02274
634390751304884634,Appartamento a Bologna,141679158,Stefano,,Porto - Saragozza,44.49106,11.31878,Entire home/apt,90,2,30,2024-01-24,1.38,1,102,18,037006-AT-02185
634641067120874609,Stanza doppia/tripla con bagno | colli bolognesi,309500606,Domani Società Cooperativa Sociale,,Santo Stefano,44.47803,11.32451,Private room,58,1,31,2024-03-18,1.41,8,341,18,
634684035602279911,Ampia camera singola con terrazzo,2879369,Andrea,,Porto - Saragozza,44.492031,11.312564,Private room,35,30,5,2024-02-29,0.29,3,81,3,
635170778439857900,Stanza doppia/tripla con bagno | colli bolognesi,309500606,Domani Società Cooperativa Sociale,,Porto - Saragozza,44.47959,11.32383,Private room,58,1,20,2024-03-17,0.92,8,347,11,
635173755592341423,Stanza doppia/tripla con bagno | colli bolognesi,309500606,Domani Società Cooperativa Sociale,,Santo Stefano,44.48029,11.32473,Private room,58,1,20,2023-09-29,0.97,8,356,11,
635175111779136531,Stanza privata con bagno | colli bolognesi,309500606,Domani Società Cooperativa Sociale,,Santo Stefano,44.47985,11.32533,Private room,58,1,2,2023-09-25,0.10,8,363,1,
635176607734128155,Stanza privata con bagno | colli bolognesi,309500606,Domani Società Cooperativa Sociale,,Santo Stefano,44.47859,11.32395,Private room,58,1,15,2023-07-02,0.71,8,362,1,
635177807879935887,Stanza privata con bagno | colli bolognesi,309500606,Domani Società Cooperativa Sociale,,Santo Stefano,44.47952,11.32476,Private room,58,1,15,2023-09-26,0.68,8,332,2,
635203078197293856,Santa Viola Lovely Apartment,132464778,Welcome To Emilia Romagna & Marche!,,Borgo Panigale - Reno,44.5036653,11.297726,Entire home/apt,62,1,10,2023-12-01,1.32,86,0,10,037006-CV-00198
635206892637339990,Loft-Superiore-Bagno in camera,32062320,Daniele,,Santo Stefano,44.48109,11.36232,Private room,124,1,3,2023-04-08,0.14,7,344,1,Non e registrato
635338984302716933,Incantevole appartamento con terrazzo sui tetti,1401209,Cristina,,Santo Stefano,44.49145,11.35481,Entire home/apt,104,2,59,2024-03-10,3.15,1,127,44,1
637660573174521948,Bolognamania Apartments-Happy,112546087,Bolognamania,,Porto - Saragozza,44.500984,11.316299,Entire home/apt,104,2,5,2024-03-19,0.31,7,40,4,
638259435065514966,Mini appartamento,4404358,Beatrice,,Porto - Saragozza,44.49548,11.328949,Entire home/apt,65,1,0,,,1,267,0,
638291627411687407,Cozy Apartment Family 'n' Friends 4starbologna,239491712,4 Star Bologna,,Santo Stefano,44.504051,11.351091,Entire home/apt,325,1,39,2024-03-01,1.81,20,182,18,
638303492116808330,Bed and Breakfast Isabella,41791621,Matteo,,Santo Stefano,44.48715,11.35072,Private room,80,1,38,2023-12-10,1.73,2,340,20,
638763167096458482,"Casa Piella, nel cuore di Bologna",461808773,Luisa Maria,,Santo Stefano,44.49876,11.34421,Entire home/apt,112,3,74,2024-01-02,3.41,1,194,42,037006-AT-02287
639151906774216399,Monolocale incantevole al centro di Bologna (2),45605559,Franko,,Santo Stefano,44.488834,11.342997,Private room,80,1,58,2024-03-09,2.67,4,265,13,
639154902770995880,Monolocale incantevole al centro di Bologna (3),45605559,Franko,,Santo Stefano,44.488834,11.342997,Private room,138,1,60,2023-08-31,2.78,4,293,12,
639174318860290718,The white room at the heart of Bologna,58764284,Alejandra,,Porto - Saragozza,44.49986,11.34354,Private room,50,3,12,2024-03-20,0.56,1,40,3,
639823350660992457,Appartamento zona centrale Bologna,147835290,Ilaria,,Porto - Saragozza,44.50167,11.33414,Private room,60,70,7,2022-08-21,0.33,1,235,0,
640431692541228978,Filippo room  zona fiera,252148655,Filippo,,Navile,44.51544,11.35227,Private room,100,1,8,2023-10-28,0.37,1,90,2,
641174592212925440,Spacious Double Room in a unique location,397797834,The Social Hub,,Navile,44.50838,11.34028,Private room,162,1,36,2023-12-26,1.70,1,349,6,
642124265731793614,Lovely Condo in Bologna,462558515,Soumia,,Santo Stefano,44.47564,11.37073,Entire home/apt,45,2,37,2024-03-11,1.77,1,286,19,
642454440152535092,"2Towers Holiday House - 
Centro storico di Bologna",257200987,Domenico,,Santo Stefano,44.494560529391464,11.348606720566748,Entire home/apt,170,1,100,2024-03-19,4.78,1,96,45,037006-CV-00563
642621545796567456,Accogliente loft in palazzo storico centrale,61422547,Niccolò,,Santo Stefano,44.49952106968427,11.352163359212225,Entire home/apt,80,1,279,2024-03-12,12.86,2,128,159,037006-CV-00857
643251014075681533,App nuovo in giardino interno centralissimo,272693907,Arturo,,Porto - Saragozza,44.49064,11.33503,Entire home/apt,80,1,18,2023-08-26,0.83,3,68,3,
644130339895473048,Bologna Fiera Fani Apartment,16163103,Pitwo,,San Donato - San Vitale,44.5074113,11.3613762,Entire home/apt,157,1,19,2023-11-25,1.06,3,73,6,
