id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42196,50 sm Studio in the historic centre,184487,Carlo,,Santo Stefano,44.48507,11.34786,Entire home/apt,80,3,233,2024-09-05,1.37,2,301,15,
46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.49168,11.33514,Private room,43,2,437,2024-09-15,2.57,2,71,47,
85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,44.47834,11.35672,Entire home/apt,120,2,60,2024-05-24,0.39,1,169,7,
204553,Private Room & Bath Ex-Convent in Centro Storico,569422,Elizabeth,,Porto - Saragozza,44.49105,11.33982,Private room,92,2,267,2024-04-13,1.68,1,34,5,
219878,Gorgeous Haven in Centro Storico,1139326,Elisa,,Santo Stefano,44.48787,11.35392,Entire home/apt,147,3,171,2024-08-16,1.09,2,48,5,
229114,Terrace between fair&city center,1196205,Davide,,Navile,44.51072,11.34957,Entire home/apt,214,3,82,2024-06-22,0.57,1,332,18,IT037006C2KRRTWGRT
246747,Charming centro Bologna room with rooftop view,1294101,Giovanna,,Porto - Saragozza,44.49702,11.34291,Private room,100,2,48,2024-04-14,0.33,1,318,6,
266777,BOLOGNA CENTRE APARTMENT W/ GARDEN,1398894,Giulia,,Porto - Saragozza,44.49487,11.33241,Entire home/apt,85,180,51,2020-03-01,0.33,1,125,0,
306910,Albiroli apartment-Piazza Maggiore,1578729,Giulio,,Santo Stefano,44.49718,11.3444,Entire home/apt,80,10,22,2022-07-03,0.14,1,202,0,
338331,[Fiera District and city center] Room,1718955,Valentina,,Navile,44.51842,11.35544,Private room,159,1,18,2023-10-31,0.12,1,361,6,
374610,Monolocale con WIFI cucina-bagno!,1884566,Federico,,Santo Stefano,44.49128,11.35617,Entire home/apt,118,2,115,2024-02-12,0.82,4,65,6,
383256,Appartamento Open Space in centro!,1884566,Federico,,Porto - Saragozza,44.50103,11.34218,Entire home/apt,145,2,218,2024-08-18,1.44,4,72,29,
411523,Melograno's house,2048622,Irene,,Santo Stefano,44.4931,11.35442,Entire home/apt,168,2,137,2024-06-24,1.00,2,280,7,IT037006C2VL6I3CIH
524986,Nice and silent appartment,3206567,Stefania,,Navile,44.5191,11.32102,Private room,80,2,31,2024-01-02,0.24,1,351,3,
570880,sweet loft in bologna's heart,123920,Giorgio,,Porto - Saragozza,44.49147,11.33661,Entire home/apt,250,2,65,2022-07-03,0.44,1,325,0,IT037006C2ISK7PTSC
648513,Cosy studio in the World Heritage site,95428,Simona,,Porto - Saragozza,44.49395,11.34128,Entire home/apt,100,31,11,2023-10-31,0.08,2,206,2,
670725,Camera singola e bagno accogliente,3398944,Enzo,,Savena,44.46988,11.37673,Private room,75,1,6,2023-05-20,0.04,2,352,0,
684271,Ca 'de' Fiori self catering apartm.,3488947,Cristina,,Navile,44.51541,11.34628,Entire home/apt,120,2,4,2018-11-11,0.04,1,47,0,
690226,Bologna on the roof,2048622,Irene,,Santo Stefano,44.49007,11.35267,Entire home/apt,160,3,101,2024-09-07,0.69,2,236,13,IT037006C2VJWVDVI8
724304,Bologna cities and universities,3026417,Michela,,Santo Stefano,44.49325,11.35119,Entire home/apt,110,3,73,2024-08-13,0.52,1,237,5,IT037006C2M7CXWSAL
732525,room in Bologna with bathroom,2879369,Andrea,,Porto - Saragozza,44.49228,11.31329,Private room,121,1,17,2023-03-19,0.12,1,305,0,IT037006C1AZJOO6IC
742415,"large, quiet, in front off the the Bologna's fair",3858191,Ennio,,San Donato - San Vitale,44.50522,11.36354,Entire home/apt,782,2,45,2024-08-05,0.35,2,268,5,IT037006C2HV3EKFPU
787769,cosy apartment downtown with terrace,4152306,Lisa,,Santo Stefano,44.49927,11.34708,Entire home/apt,84,2,12,2024-08-14,0.08,1,181,9,
